tracking_timestamp_us,yaw_rads_cpf,pitch_rads_cpf,depth_m,yaw_low_rads_cpf,pitch_low_rads_cpf,yaw_high_rads_cpf,pitch_high_rads_cpf
148502622,0.892905,0.01115904,,0.7687501,-0.055870883,0.94113106,0.076859415
148602622,0.8955582,0.038370244,,0.7770541,-0.028219454,0.9438171,0.103490174
148702622,0.8772865,0.020576514,,0.77091295,-0.04357092,0.92556685,0.08349706
148802622,0.5941714,-0.013784833,,0.2644146,-0.15711764,0.75564164,0.11668222
148902622,0.21248558,-0.14242214,,0.14313039,-0.21395752,0.27269527,-0.064517975
149002622,0.19858317,-0.24452072,,0.16766417,-0.27083543,0.21918598,-0.21029574
149102622,0.58587354,-0.13433418,,0.56512624,-0.15168536,0.6036802,-0.11306049
149202622,0.6383447,-0.15280186,,0.6197306,-0.16788618,0.6561044,-0.13551271
149302622,0.544157,-0.15414855,,0.5063555,-0.17582576,0.5634007,-0.12959613
149402622,0.25152266,-0.24917895,,0.21792287,-0.29283488,0.28961417,-0.20469718
149502622,0.21208912,-0.27385095,,0.18468721,-0.2995445,0.23244697,-0.24564372
149602622,0.09040324,-0.24393103,,0.068871446,-0.27113444,0.11312004,-0.18415447
149702622,0.059195627,-0.25802547,,0.035259575,-0.28417492,0.07744479,-0.19385007
149802622,0.058712255,-0.24786487,,0.03510733,-0.2731877,0.07577816,-0.18554156
149902622,0.056039073,-0.24805251,,0.036271445,-0.26894563,0.07122849,-0.19917664
150002622,0.06123264,-0.23393859,,0.041209303,-0.25590527,0.0773807,-0.18298453
150102622,0.062539324,-0.24475257,,0.04036309,-0.26863533,0.079426676,-0.19018807
150202622,0.05975908,-0.25522158,,0.037769414,-0.27907228,0.0767857,-0.2020201
150302622,0.37091362,-0.33048207,,0.3550038,-0.34887087,0.38755602,-0.31031263
150402622,0.36988887,-0.33976787,,0.3548367,-0.35690966,0.38593897,-0.32148397
150502622,0.3608104,-0.3279582,,0.34662348,-0.34347284,0.3749853,-0.31080812
150602622,0.35581186,-0.34828883,,0.3396077,-0.3662882,0.37175894,-0.32908976
150702622,0.10515278,-0.278701,,0.069191486,-0.30413032,0.12273456,-0.22906327
150802622,0.10962013,-0.30546296,,0.07133024,-0.33287776,0.12873583,-0.2598395
150902622,0.077561826,-0.3085037,,0.041270375,-0.34169596,0.100245655,-0.22091785
151002622,0.077744156,-0.31916785,,0.050274245,-0.3544741,0.111980274,-0.24475351
151102622,-0.002972316,-0.34065545,,-0.022665543,-0.36288002,0.015049136,-0.2939191
151202622,-0.0060016457,-0.32121158,,-0.021106362,-0.34003,0.009101334,-0.28532732
151302622,0.0037880521,-0.31190327,,-0.01804765,-0.33597878,0.026324295,-0.26245993
151402622,0.03645513,-0.2988173,,0.0076477975,-0.32978255,0.057966832,-0.21352783
151502622,0.05993534,-0.3013416,,0.0123184845,-0.33934438,0.08487637,-0.20917805
151602622,0.06781675,-0.29212844,,0.03539077,-0.3393808,0.11207405,-0.18257311
151702622,0.080423884,-0.32245472,,0.036080904,-0.39463884,0.1696147,-0.19121903
151802622,0.074488685,-0.37017673,,0.017369278,-0.4393044,0.14624476,-0.21604663
151902622,0.06284373,-0.3732945,,-0.020270048,-0.45069778,0.1337356,-0.21024305
152002622,0.066473864,-0.3546683,,0.022769537,-0.422341,0.13994107,-0.21434988
152102622,0.052589048,-0.31505334,,-0.008353753,-0.40306526,0.15078825,-0.13320224
152202622,0.048386913,-0.34423676,,0.010978972,-0.41858172,0.13351865,-0.2056076
152302622,0.06221797,-0.39470053,,0.03583295,-0.44203305,0.10761948,-0.31134105
152402622,0.064496376,-0.4253343,,0.04183504,-0.4598621,0.09592811,-0.3640371
152502622,0.08742555,-0.4295324,,0.072516516,-0.451258,0.103783034,-0.39313358
152602622,0.1165133,-0.41310602,,0.098558724,-0.43586135,0.13304245,-0.36315775
152702622,0.12130013,-0.41050476,,0.10083867,-0.4348932,0.1385768,-0.34859735
152802622,0.12944049,-0.418354,,0.10951786,-0.44241327,0.14663255,-0.3579325
152902622,0.15110713,-0.441755,,0.13528521,-0.4668647,0.16948003,-0.4036461
153002622,0.16579597,-0.4509655,,0.14748341,-0.47611725,0.18357858,-0.40225357
153102622,0.16963354,-0.460309,,0.15397528,-0.48377723,0.1869056,-0.4262218
153202622,0.16374835,-0.46102133,,0.1482628,-0.48408902,0.1811207,-0.42816228
153302622,0.19133018,-0.4954601,,0.17435697,-0.5222553,0.21066377,-0.45537204
153402622,0.21620964,-0.51519173,,0.19225998,-0.5492712,0.241456,-0.42923737
153502622,0.22888677,-0.51361156,,0.21292648,-0.53759784,0.24649,-0.47866315
153602622,0.24046063,-0.487626,,0.2223497,-0.5155003,0.26172608,-0.4442122
153702622,0.2398765,-0.4841836,,0.21672319,-0.5230119,0.26963496,-0.41207266
153802622,0.20082563,-0.4876642,,0.18178137,-0.5204629,0.22525388,-0.429061
153902622,0.20199485,-0.4776701,,0.18310416,-0.5108008,0.22639114,-0.42183787
154002622,0.2184308,-0.47901502,,0.19994946,-0.5090281,0.24132466,-0.4310909
154102622,0.25583178,-0.46775264,,0.23685278,-0.49796903,0.27911583,-0.42012972
154202622,0.31892613,-0.5001756,,0.30323043,-0.51749104,0.33341143,-0.48063606
154302622,0.3093436,-0.49543855,,0.29269615,-0.5158418,0.32500327,-0.4702899
154402622,0.3198916,-0.5282066,,0.3045752,-0.5461553,0.33440685,-0.50909525
154502622,0.31577536,-0.53323406,,0.3001154,-0.5511079,0.33028364,-0.51367766
154602622,0.32740563,-0.5482002,,0.31123078,-0.566607,0.34174302,-0.5228777
154702622,0.2916811,-0.4972722,,0.27332923,-0.51792467,0.30815145,-0.47233814
154802622,0.24693657,-0.47583348,,0.19716394,-0.5151548,0.27495435,-0.41821146
154902622,0.19527291,-0.46322656,,0.17797138,-0.49151742,0.2162286,-0.4189793
155002622,0.17299673,-0.45352477,,0.1570198,-0.47744048,0.19214821,-0.42093498
155102622,0.16264154,-0.4363673,,0.14382955,-0.46843332,0.18961018,-0.38802564
155202622,0.16400543,-0.46616322,,0.14577852,-0.49921066,0.1872322,-0.40927875
155302622,0.16475688,-0.503185,,0.14553693,-0.53673744,0.188768,-0.44387162
155402622,0.18277115,-0.5513239,,0.16523786,-0.5763778,0.19990298,-0.4992451
155502622,0.19233777,-0.5682976,,0.17728782,-0.5896281,0.2065686,-0.5379136
155602622,0.19977237,-0.57781094,,0.18390386,-0.5993354,0.21367943,-0.54469186
155702622,0.2093714,-0.5877978,,0.1925223,-0.60883987,0.22358507,-0.5549342
155802622,0.21046439,-0.5377753,,0.19568032,-0.5600313,0.22520325,-0.50659955
155902622,0.18872696,-0.5371351,,0.17447665,-0.5573468,0.2025488,-0.5102364
156002622,0.16607812,-0.5214076,,0.14719664,-0.54933226,0.18367195,-0.4622721
156102622,0.14306222,-0.510067,,0.12156085,-0.5402283,0.16314182,-0.4404698
156202622,0.17142113,-0.5438703,,0.15413512,-0.56679237,0.18595332,-0.50401676
156302622,0.17714895,-0.5859622,,0.15687722,-0.6153694,0.19492355,-0.5253859
156402622,0.16714595,-0.588124,,0.14885814,-0.61687773,0.18587422,-0.5324741
156502622,0.17305581,-0.59625155,,0.15548207,-0.6230936,0.19146037,-0.54716206
156602622,0.17828883,-0.58577937,,0.1607559,-0.6120898,0.19565019,-0.54113424
156702622,0.18756145,-0.5771062,,0.16884598,-0.6067629,0.20600179,-0.51913875
156802622,0.16647387,-0.5580027,,0.14979346,-0.5804287,0.18117711,-0.5229187
156902622,0.15091272,-0.5625976,,0.13038184,-0.58861357,0.1677469,-0.50234747
157002622,0.13679375,-0.5615564,,0.11271142,-0.58796453,0.15335748,-0.49049515
157102622,0.089117214,-0.5168716,,0.06021495,-0.54369676,0.10634441,-0.43609297
157202622,0.04024897,-0.48506364,,0.019218538,-0.5084804,0.05502883,-0.4262104
157302622,0.0026530419,-0.4741398,,-0.024656424,-0.5022977,0.019112997,-0.38913578
157402622,-0.025581177,-0.35410398,,-0.070808515,-0.41662145,0.028076,-0.18312174
157502622,-0.050657608,-0.33966732,,-0.09434339,-0.40193552,0.0060825124,-0.18327712
157602622,-0.078996375,-0.40995497,,-0.13160922,-0.4604228,-0.04998891,-0.23255178
157702622,-0.10710655,-0.48430064,,-0.16183113,-0.52394557,-0.08596321,-0.3282538
157802622,-0.096731625,-0.5165334,,-0.16167422,-0.5624798,-0.07298332,-0.31309357
157902622,-0.08607927,-0.55992264,,-0.17171887,-0.62013817,-0.055843994,-0.2629578
158002622,-0.11280438,-0.551615,,-0.19531052,-0.62941813,-0.065327294,-0.24061407
158102622,-0.08740224,-0.619209,,-0.14431076,-0.6777944,-0.053834766,-0.38637257
158202622,-0.08976478,-0.6398049,,-0.13247062,-0.6932297,-0.056516007,-0.4645123
158302622,-0.067282714,-0.76844674,,-0.093454994,-0.8034917,-0.03996075,-0.6738811
158402622,-0.049694315,-0.7705118,,-0.07868952,-0.8024421,-0.02407768,-0.6968027
158502622,-0.030512638,-0.78293777,,-0.062360026,-0.81595623,-0.0037764292,-0.6956496
158602622,-0.021324392,-0.7981962,,-0.06161379,-0.8332014,0.005859498,-0.69171643
158702622,-0.039196182,-0.7882301,,-0.07747334,-0.8253119,-0.010259394,-0.68080586
